"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WESD"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.0419","-106.6155","1618.5","2010-01-01","2.6","0.0","0.0","0.0",,"8.3","-7.2","0.0"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.0419","-106.6155","1618.5","2010-01-02","2.7","0.0","0.0","0.0",,"10.0","-5.6","0.0"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.0419","-106.6155","1618.5","2010-01-03","2.4","0.0","0.0","0.0",,"7.8","-5.6","0.0"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.0419","-106.6155","1618.5","2010-01-04","2.5","0.0","0.0","0.0",,"6.7","-5.0","0.0"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.0419","-106.6155","1618.5","2010-01-05","1.7","0.0","0.0","0.0",,"8.9","-5.0","0.0"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.0419","-106.6155","1618.5","2010-01-06","2.3","0.0","0.0","0.0",,"11.7","-5.0","0.0"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.0419","-106.6155","1618.5","2010-01-07","3.2","0.0","0.0","0.0",,"2.8","-5.0","0.0"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.0419","-106.6155","1618.5","2010-01-08","1.9","0.0","0.0","0.0",,"2.2","-8.9","0.0"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.0419","-106.6155","1618.5","2010-01-09","2.2","0.0","0.0","0.0",,"6.7","-6.1","0.0"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.0419","-106.6155","1618.5","2010-01-10","1.4","0.0","0.0","0.0",,"8.3","-6.7","0.0"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.0419","-106.6155","1618.5","2010-01-11","4.0","0.0","0.0","0.0",,"12.8","-1.7","0.0"
