"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WESD"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-01-01","4.0","0.0","0.0","229.0",,"-14.4","-22.8","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-01-02","1.8","0.0","0.0","229.0",,"-17.2","-26.1","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-01-03","1.3","0.0","0.0","229.0",,"-13.9","-25.6","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-01-04","2.5","0.0","0.0","229.0",,"-13.9","-23.3","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-01-05","1.4","0.0","0.0","229.0",,"-12.2","-22.8","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-01-06","1.3","0.0","0.0","229.0",,"-8.9","-20.0","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-01-07","7.1","1.5","56.0","279.0",,"-8.9","-15.6","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-01-08","3.4","0.0","0.0","279.0",,"-13.3","-21.1","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-01-09","1.6","0.0","0.0","279.0",,"-14.4","-25.6","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-01-10","3.5","0.0","0.0","279.0",,"-9.4","-21.1","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-01-11","2.6","0.0","0.0","254.0",,"-5.6","-13.3","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-01-12","3.1","0.0","0.0","254.0",,"-5.6","-16.7","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-01-13","2.9","0.0","0.0","254.0",,"-2.2","-7.2","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-01-14","3.8","0.0","0.0","254.0",,"-0.6","-9.4","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-01-15","2.4","0.0","0.0","254.0",,"-2.2","-11.1","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-01-16","3.0","0.0","0.0","254.0",,"1.7","-9.4","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-01-17","1.1","0.0","0.0","254.0",,"1.1","-6.7","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-01-18","1.4","0.0","0.0","229.0",,"1.1","-10.6","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-01-19","2.3","0.0","0.0","229.0",,"-5.0","-10.6","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-01-20","6.2","0.0","0.0","229.0",,"-2.2","-7.2","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-01-21","4.0","1.3","0.0","229.0",,"-1.1","-3.9","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-01-22","5.5","0.5","0.0","229.0",,"0.6","-2.2","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-01-23","6.8","5.8","0.0","229.0",,"2.2","0.0","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-01-24","3.6","1.0","0.0","178.0",,"1.7","0.0","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-01-25","7.2","1.3","23.0","152.0",,"1.1","-8.9","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-01-26","5.8","0.0","0.0","178.0",,"-8.9","-16.1","0.0"
