"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WESD"
"USW00014839","MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US","42.955","-87.9044","204.2","2010-01-01","4.3","0.0","0.0","25.0",,"-7.2","-12.2","0.0"
"USW00014839","MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US","42.955","-87.9044","204.2","2010-01-02","5.2","0.0","0.0","25.0",,"-11.1","-16.7","0.0"
"USW00014839","MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US","42.955","-87.9044","204.2","2010-01-03","5.2","0.0","0.0","25.0",,"-7.8","-16.1","0.0"
"USW00014839","MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US","42.955","-87.9044","204.2","2010-01-04","5.4","0.0","0.0","25.0",,"-6.1","-11.7","0.0"
"USW00014839","MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US","42.955","-87.9044","204.2","2010-01-05","4.9","0.0","0.0","25.0",,"-4.4","-8.9","0.0"
"USW00014839","MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US","42.955","-87.9044","204.2","2010-01-06","3.1","0.0","0.0","25.0",,"-3.9","-9.4","0.0"
"USW00014839","MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US","42.955","-87.9044","204.2","2010-01-07","2.9","8.4","185.0","51.0",,"-1.1","-6.7","0.0"
"USW00014839","MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US","42.955","-87.9044","204.2","2010-01-08","5.7","0.3","15.0","203.0",,"-3.9","-10.0","0.0"
"USW00014839","MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US","42.955","-87.9044","204.2","2010-01-09","3.4","0.0","0.0","178.0",,"-5.0","-13.3","0.0"
"USW00014839","MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US","42.955","-87.9044","204.2","2010-01-10","5.3","0.0","0.0","152.0",,"-7.8","-16.1","0.0"
"USW00014839","MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US","42.955","-87.9044","204.2","2010-01-11","5.0","0.0","0.0","152.0",,"-2.8","-9.4","0.0"
"USW00014839","MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US","42.955","-87.9044","204.2","2010-01-12","4.7","0.0","0.0","127.0",,"-0.6","-6.7","0.0"
"USW00014839","MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US","42.955","-87.9044","204.2","2010-01-13","4.9","0.0","0.0","127.0",,"0.6","-7.8","0.0"
"USW00014839","MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US","42.955","-87.9044","204.2","2010-01-14","4.1","0.0","0.0","127.0",,"3.3","-3.3","0.0"
